data_date,url,query,impressions,clicks,sum_top_position,is_organic_shopping,is_product_snippets,is_merchant_listings
2025-04-01,https://www.yourbrand.com/,,136,37,212.3,False,False,False
2025-04-01,https://www.yourbrand.com/collections/new-arrivals,,61,1,284.6,False,False,False
2025-04-01,https://www.yourbrand.com/collections/best-sellers,,62,2,278.4,False,False,False
2025-04-01,https://www.yourbrand.com/products/classic-essential-tee,,55,1,346.4,True,True,False
2025-04-01,https://www.yourbrand.com/products/premium-hoodie,,36,0,272.5,True,True,True
2025-04-01,https://www.yourbrand.com/products/organic-joggers,,29,0,219.5,True,True,False
2025-04-01,https://www.yourbrand.com/products/recycled-sneakers,,36,0,184.3,True,True,True
2025-04-01,https://www.yourbrand.com/products/weekend-bag,,32,0,295.7,True,True,True
2025-04-01,https://www.yourbrand.com/collections/sale,,39,0,249.7,False,False,False
2025-04-01,https://www.yourbrand.com/blogs/style-guide,,32,0,376.1,False,False,False
2025-04-01,https://www.yourbrand.com/blogs/sustainability,,27,0,406.2,False,False,False
2025-04-01,https://www.yourbrand.com/pages/about-us,,28,1,80.8,False,False,False
2025-04-01,https://www.yourbrand.com/collections/accessories,,29,0,305.6,False,False,False
2025-04-02,https://www.yourbrand.com/,,136,43,201.8,False,False,False
2025-04-02,https://www.yourbrand.com/collections/new-arrivals,,84,1,410.3,False,False,False
2025-04-02,https://www.yourbrand.com/collections/best-sellers,,49,1,216.5,False,False,False
2025-04-02,https://www.yourbrand.com/products/classic-essential-tee,,51,0,277.6,True,True,True
2025-04-02,https://www.yourbrand.com/products/premium-hoodie,,36,0,235.8,True,True,True
2025-04-02,https://www.yourbrand.com/products/organic-joggers,,39,0,339.2,True,True,True
2025-04-02,https://www.yourbrand.com/products/recycled-sneakers,,42,0,239.8,True,True,True
2025-04-02,https://www.yourbrand.com/products/weekend-bag,,34,0,275.4,True,True,False
2025-04-02,https://www.yourbrand.com/collections/sale,,53,1,354.0,False,False,False
2025-04-02,https://www.yourbrand.com/blogs/style-guide,,25,0,308.0,False,False,False
2025-04-02,https://www.yourbrand.com/blogs/sustainability,,21,0,277.3,False,False,False
2025-04-02,https://www.yourbrand.com/pages/about-us,,27,1,86.9,False,False,False
2025-04-02,https://www.yourbrand.com/collections/accessories,,35,0,358.7,False,False,False
2025-04-03,https://www.yourbrand.com/,,102,26,146.3,False,False,False
2025-04-03,https://www.yourbrand.com/collections/new-arrivals,,76,2,396.3,False,False,False
2025-04-03,https://www.yourbrand.com/collections/best-sellers,,70,2,337.2,False,False,False
