data_date,site_url,query,search_type,impressions,clicks,sum_top_position
2025-04-01,https://www.yourbrand.com,your brand,web,123,51,149.7
2025-04-01,https://www.yourbrand.com,sustainable clothing,web,68,0,583.7
2025-04-01,https://www.yourbrand.com,organic cotton tee,web,38,0,214.9
2025-04-01,https://www.yourbrand.com,eco friendly fashion,web,62,0,799.8
2025-04-01,https://www.yourbrand.com,recycled sneakers,web,32,1,164.5
2025-04-01,https://www.yourbrand.com,premium hoodie,web,27,0,163.1
2025-04-01,https://www.yourbrand.com,best joggers men,web,45,0,392.6
2025-04-01,https://www.yourbrand.com,weekend travel bag,web,33,0,227.4
2025-04-01,https://www.yourbrand.com,sustainable accessories,web,23,0,263.7
2025-04-01,https://www.yourbrand.com,your brand review,web,41,7,85.0
2025-04-01,https://www.yourbrand.com,organic fashion store,web,27,0,345.9
2025-04-01,https://www.yourbrand.com,buy ethical clothing online,web,45,0,490.8
2025-04-01,https://www.yourbrand.com,your brand discount code,web,27,9,37.7
2025-04-01,https://www.yourbrand.com,best sustainable brands,web,46,0,735.5
2025-04-01,https://www.yourbrand.com,hemp clothing,web,19,0,141.5
2025-04-01,https://www.yourbrand.com,fair trade fashion,web,31,0,419.6
2025-04-01,https://www.yourbrand.com,your brand joggers,web,20,3,39.2
2025-04-01,https://www.yourbrand.com,eco sneakers,web,25,0,149.4
2025-04-02,https://www.yourbrand.com,your brand,web,130,54,165.6
2025-04-02,https://www.yourbrand.com,sustainable clothing,web,76,0,628.7
2025-04-02,https://www.yourbrand.com,organic cotton tee,web,53,1,250.5
2025-04-02,https://www.yourbrand.com,eco friendly fashion,web,66,0,792.5
2025-04-02,https://www.yourbrand.com,recycled sneakers,web,40,1,180.2
2025-04-02,https://www.yourbrand.com,premium hoodie,web,29,0,178.9
2025-04-02,https://www.yourbrand.com,best joggers men,web,41,0,363.3
2025-04-02,https://www.yourbrand.com,weekend travel bag,web,30,0,208.5
2025-04-02,https://www.yourbrand.com,sustainable accessories,web,20,0,237.6
2025-04-02,https://www.yourbrand.com,your brand review,web,41,6,83.5
2025-04-02,https://www.yourbrand.com,organic fashion store,web,35,0,504.4
2025-04-02,https://www.yourbrand.com,buy ethical clothing online,web,32,0,334.4
2025-04-02,https://www.yourbrand.com,your brand discount code,web,33,8,46.2
2025-04-02,https://www.yourbrand.com,best sustainable brands,web,42,0,646.6
2025-04-02,https://www.yourbrand.com,hemp clothing,web,21,0,179.1
2025-04-02,https://www.yourbrand.com,fair trade fashion,web,37,0,448.4
2025-04-02,https://www.yourbrand.com,your brand joggers,web,21,4,41.0
2025-04-02,https://www.yourbrand.com,eco sneakers,web,29,0,169.6
2025-04-03,https://www.yourbrand.com,your brand,web,122,44,143.1
2025-04-03,https://www.yourbrand.com,sustainable clothing,web,64,0,541.2
2025-04-03,https://www.yourbrand.com,organic cotton tee,web,50,1,259.5
2025-04-03,https://www.yourbrand.com,eco friendly fashion,web,57,0,685.0
2025-04-03,https://www.yourbrand.com,recycled sneakers,web,38,1,167.1
2025-04-03,https://www.yourbrand.com,premium hoodie,web,34,0,228.2
2025-04-03,https://www.yourbrand.com,best joggers men,web,39,0,330.9
2025-04-03,https://www.yourbrand.com,weekend travel bag,web,31,0,223.0
2025-04-03,https://www.yourbrand.com,sustainable accessories,web,25,0,254.1
2025-04-03,https://www.yourbrand.com,your brand review,web,44,7,85.2
2025-04-03,https://www.yourbrand.com,organic fashion store,web,32,0,492.7
2025-04-03,https://www.yourbrand.com,buy ethical clothing online,web,34,0,368.1
2025-04-03,https://www.yourbrand.com,your brand discount code,web,29,7,47.0
2025-04-03,https://www.yourbrand.com,best sustainable brands,web,45,0,657.6
2025-04-03,https://www.yourbrand.com,hemp clothing,web,20,0,156.7
2025-04-03,https://www.yourbrand.com,fair trade fashion,web,33,0,460.4
2025-04-03,https://www.yourbrand.com,your brand joggers,web,23,4,42.0
2025-04-03,https://www.yourbrand.com,eco sneakers,web,31,0,171.5
2025-04-04,https://www.yourbrand.com,your brand,web,137,60,152.8
2025-04-04,https://www.yourbrand.com,sustainable clothing,web,53,0,437.7
2025-04-04,https://www.yourbrand.com,organic cotton tee,web,42,1,232.1
2025-04-04,https://www.yourbrand.com,eco friendly fashion,web,59,0,756.2
2025-04-04,https://www.yourbrand.com,recycled sneakers,web,44,1,193.1
2025-04-04,https://www.yourbrand.com,premium hoodie,web,29,0,197.0
2025-04-04,https://www.yourbrand.com,best joggers men,web,32,0,289.2
2025-04-04,https://www.yourbrand.com,weekend travel bag,web,37,0,301.9
2025-04-04,https://www.yourbrand.com,sustainable accessories,web,19,0,217.5
2025-04-04,https://www.yourbrand.com,your brand review,web,54,8,108.4
2025-04-04,https://www.yourbrand.com,organic fashion store,web,33,0,461.6
2025-04-04,https://www.yourbrand.com,buy ethical clothing online,web,37,0,375.9
2025-04-04,https://www.yourbrand.com,your brand discount code,web,29,7,46.0
2025-04-04,https://www.yourbrand.com,best sustainable brands,web,43,0,700.1
2025-04-04,https://www.yourbrand.com,hemp clothing,web,28,0,245.8
2025-04-04,https://www.yourbrand.com,fair trade fashion,web,34,0,429.2
2025-04-04,https://www.yourbrand.com,your brand joggers,web,27,6,47.4
2025-04-04,https://www.yourbrand.com,eco sneakers,web,32,0,188.9
2025-04-05,https://www.yourbrand.com,your brand,web,133,56,170.4
2025-04-05,https://www.yourbrand.com,sustainable clothing,web,60,0,493.8
2025-04-05,https://www.yourbrand.com,organic cotton tee,web,41,1,195.0
2025-04-05,https://www.yourbrand.com,eco friendly fashion,web,49,0,637.1
2025-04-05,https://www.yourbrand.com,recycled sneakers,web,45,1,234.3
2025-04-05,https://www.yourbrand.com,premium hoodie,web,32,0,216.6
2025-04-05,https://www.yourbrand.com,best joggers men,web,33,0,278.1
2025-04-05,https://www.yourbrand.com,weekend travel bag,web,33,0,249.6
2025-04-05,https://www.yourbrand.com,sustainable accessories,web,26,0,290.4
2025-04-05,https://www.yourbrand.com,your brand review,web,39,6,83.6
2025-04-05,https://www.yourbrand.com,organic fashion store,web,37,0,486.9
2025-04-05,https://www.yourbrand.com,buy ethical clothing online,web,42,0,449.1
2025-04-05,https://www.yourbrand.com,your brand discount code,web,33,10,51.1
2025-04-05,https://www.yourbrand.com,best sustainable brands,web,39,0,637.7
2025-04-05,https://www.yourbrand.com,hemp clothing,web,22,0,167.3
2025-04-05,https://www.yourbrand.com,fair trade fashion,web,33,0,398.0
2025-04-05,https://www.yourbrand.com,your brand joggers,web,23,5,43.8
2025-04-05,https://www.yourbrand.com,eco sneakers,web,29,0,182.9
2025-04-06,https://www.yourbrand.com,your brand,web,115,42,137.9
2025-04-06,https://www.yourbrand.com,sustainable clothing,web,75,0,613.8
2025-04-06,https://www.yourbrand.com,organic cotton tee,web,54,1,279.6
2025-04-06,https://www.yourbrand.com,eco friendly fashion,web,55,0,661.9
2025-04-06,https://www.yourbrand.com,recycled sneakers,web,34,1,158.0
2025-04-06,https://www.yourbrand.com,premium hoodie,web,32,0,212.0
2025-04-06,https://www.yourbrand.com,best joggers men,web,35,0,304.0
2025-04-06,https://www.yourbrand.com,weekend travel bag,web,35,0,262.0
2025-04-06,https://www.yourbrand.com,sustainable accessories,web,28,0,297.2
2025-04-06,https://www.yourbrand.com,your brand review,web,51,10,93.1
2025-04-06,https://www.yourbrand.com,organic fashion store,web,33,0,481.6
2025-04-06,https://www.yourbrand.com,buy ethical clothing online,web,39,0,444.6
2025-04-06,https://www.yourbrand.com,your brand discount code,web,36,10,57.8
2025-04-06,https://www.yourbrand.com,best sustainable brands,web,57,0,936.3
2025-04-06,https://www.yourbrand.com,hemp clothing,web,25,0,218.6
2025-04-06,https://www.yourbrand.com,fair trade fashion,web,31,0,407.5
2025-04-06,https://www.yourbrand.com,your brand joggers,web,24,5,41.6
2025-04-06,https://www.yourbrand.com,eco sneakers,web,34,0,220.7
2025-04-07,https://www.yourbrand.com,your brand,web,125,53,145.2
2025-04-07,https://www.yourbrand.com,sustainable clothing,web,63,0,518.0
2025-04-07,https://www.yourbrand.com,organic cotton tee,web,57,1,309.9
2025-04-07,https://www.yourbrand.com,eco friendly fashion,web,57,0,641.7
2025-04-07,https://www.yourbrand.com,recycled sneakers,web,32,1,160.0
2025-04-07,https://www.yourbrand.com,premium hoodie,web,31,0,176.2
2025-04-07,https://www.yourbrand.com,best joggers men,web,47,0,429.8
2025-04-07,https://www.yourbrand.com,weekend travel bag,web,33,0,225.3
